TiP	tissue	pex_interactor
PRMT1	skeletal muscle	DNM1L
HES1	esophagus	HMGCL
HES1	skin	HMGCL
HES1	vagina	HMGCL
DNAJA1	liver	HMGCL, DNM1L
HSPA4	retina	DNM1L, SOD1
HSPA4	skeletal muscle	DNM1L, SOD1
HSPA5	thyroid gland	PDIA6
HSPA5	epididymis	PDIA6
HSPA5	bone marrow	PDIA6
HSPB1	cervix	TTC1, GNPAT, VIM
HSPB1	heart muscle	TTC1, GNPAT, VIM
HSPB1	colon	TTC1, GNPAT, VIM
HSPB1	esophagus	TTC1, GNPAT, VIM
HSPB1	skin	TTC1, GNPAT, VIM
HSPB1	skeletal muscle	TTC1, GNPAT, VIM
HSPB1	endometrium	TTC1, GNPAT, VIM
HSPB1	vagina	TTC1, GNPAT, VIM
HSPB2	tongue	ABCD4, MDH1, ACTG1
HSPB2	heart muscle	ABCD4, MDH1, ACTG1
HSPB2	adipose tissue	ABCD4, MDH1, ACTG1
HSPB2	skeletal muscle	ABCD4, MDH1, ACTG1
HSP90AB1	tongue	TRIM37
HSP90AB1	ovary	TRIM37
HSP90AB1	skeletal muscle	TRIM37
HSPE1	liver	HSPD1, SOD1
HSPE1	choroid plexus	HSPD1, SOD1
HSPE1	adrenal gland	HSPD1, SOD1
HSPE1	kidney	HSPD1, SOD1
ID1	esophagus	CAV1
ID1	urinary bladder	CAV1
IDH3A	tongue	SOD1
IDH3A	heart muscle	SOD1
IDH3A	skeletal muscle	SOD1
IDH3A	parathyroid gland	SOD1
IGFBP5	cervix	PDIA6, MFF
IGFBP5	ovary	PDIA6, MFF
IGFBP5	fallopian tube	PDIA6, MFF
IGFBP5	endometrium	PDIA6, MFF
ILF2	bone marrow	DNM1L, SOD1
ILF2	thymus	DNM1L, SOD1
IMPDH1	retina	IMPDH2
IMPDH1	adipose tissue	IMPDH2
IMPDH1	spleen	IMPDH2
INS	bone marrow	IDE
INS	skin	IDE
INS	pancreas	IDE
EIF3E	ovary	SOD1
EIF3E	pancreas	SOD1
EIF3E	breast	SOD1
IRF3	spleen	PEX19, PRDX1
EIF6	esophagus	ACTG1
EIF6	skin	ACTG1
EIF6	liver	ACTG1
KARS1	tongue	SOD1, VIM
KARS1	skeletal muscle	SOD1, VIM
KCNA2	cerebral cortex	RHOA
KCNA2	cerebellum	RHOA
KCNB1	retina	VAPB, VAPA
KCNB1	cerebral cortex	VAPB, VAPA
KCNH2	testis	CAV1
KCNH2	cerebellum	CAV1
KCNH2	colon	CAV1
KCNH2	pituitary gland	CAV1
KIF5B	amygdala	SOD1
KIF5B	spinal cord	SOD1
KIF5B	midbrain	SOD1
KIFC3	retina	CCDC33, VIM
KIFC3	testis	CCDC33, VIM
KIFC3	pancreas	CCDC33, VIM
KPNB1	testis	DNM1L, SOD1
KPNB1	tongue	DNM1L, SOD1
KPNB1	tonsil	DNM1L, SOD1
KPNB1	skeletal muscle	DNM1L, SOD1
KPNB1	thymus	DNM1L, SOD1
KRT8	pancreas	PEX5L, VIM
KRT18	pancreas	PEX5L, VIM
KTN1	tongue	RHOA
KTN1	skeletal muscle	RHOA
KTN1	choroid plexus	RHOA
LAMP2	spinal cord	BAAT, SCP2
LAMP2	midbrain	BAAT, SCP2
LAMP2	liver	BAAT, SCP2
LAMP2	skeletal muscle	BAAT, SCP2
RPSA	ovary	ABCD1, SOD1
RPSA	pancreas	ABCD1, SOD1
STMN1	amygdala	SOD1
STMN1	cerebral cortex	SOD1
STMN1	spinal cord	SOD1
STMN1	midbrain	SOD1
STMN1	hippocampal formation	SOD1
STMN1	hypothalamus	SOD1
STMN1	thymus	SOD1
LCN2	gallbladder	EHHADH
LCN2	bone marrow	EHHADH
LCN2	cervix	EHHADH
LCN2	stomach	EHHADH
LCN2	esophagus	EHHADH
LCN2	salivary gland	EHHADH
LCN2	urinary bladder	EHHADH
LCN2	vagina	EHHADH
LDHB	midbrain	LDHA, DNM1L, PEX5, SOD1
LDHB	tongue	LDHA, DNM1L, PEX5, SOD1
LDHB	heart muscle	LDHA, DNM1L, PEX5, SOD1
LDHB	choroid plexus	LDHA, DNM1L, PEX5, SOD1
LDHB	kidney	LDHA, DNM1L, PEX5, SOD1
LIG4	retina	GRHPR, MAP2K2, ACTG1, PEX10, HK1
LIG4	liver	GRHPR, MAP2K2, ACTG1, PEX10, HK1
LIG4	thymus	GRHPR, MAP2K2, ACTG1, PEX10, HK1
ABLIM1	cerebellum	VIM
ABLIM1	ovary	VIM
LMNA	skin	SOD1
LMNB1	bone marrow	SOD1
LMNB1	tonsil	SOD1
LMNB1	appendix	SOD1
LMNB1	lymph node	SOD1
LMNB1	thymus	SOD1
CAPRIN1	testis	DNM1L
SMAD2	thyroid gland	PEX19, HSPD1, RHOA, MYO5A, SOD1
SMAD2	retina	PEX19, HSPD1, RHOA, MYO5A, SOD1
SMAD2	thymus	PEX19, HSPD1, RHOA, MYO5A, SOD1
SMAD4	skeletal muscle	BAAT
MAFG	skeletal muscle	VIM
MAN2A2	retina	VIM
MAN2A2	cerebellum	VIM
MAN2A2	spinal cord	VIM
MAN2A2	skeletal muscle	VIM
MAT2A	thyroid gland	DNM1L, SOD1
MAT2A	pancreas	DNM1L, SOD1
MCF2	adrenal gland	RHOA
MCM2	bone marrow	SOD1
MCM2	tonsil	SOD1
MCM2	lymph node	SOD1
MCM2	thymus	SOD1
MCM3	bone marrow	SOD1
MCM3	tonsil	SOD1
MCM3	lymph node	SOD1
MCM3	thymus	SOD1
MCM4	testis	SOD1
MCM4	bone marrow	SOD1
MCM4	tonsil	SOD1
MCM4	lymph node	SOD1
MCM4	thymus	SOD1
MCM5	bone marrow	SOD1
MCM5	tonsil	SOD1
MCM5	appendix	SOD1
MCM5	spleen	SOD1
MCM5	lymph node	SOD1
MCM5	thymus	SOD1
MCM6	bone marrow	SOD1
MCM6	tonsil	SOD1
MCM6	lymph node	SOD1
MCM6	thymus	SOD1
MDH2	tongue	DNM1L, SOD1
MDH2	heart muscle	DNM1L, SOD1
MDH2	liver	DNM1L, SOD1
MDH2	skeletal muscle	DNM1L, SOD1
MDH2	adrenal gland	DNM1L, SOD1
MAP3K1	thyroid gland	RHOA
MAP3K1	retina	RHOA
MAP3K1	bone marrow	RHOA
MAP3K1	tonsil	RHOA
MAP3K1	salivary gland	RHOA
MAP3K1	skin	RHOA
MAP3K1	breast	RHOA
MAP3K1	spleen	RHOA
MAP3K1	lymph node	RHOA
MEOX1	tongue	ACBD4, ACOT12, PEX26
MEOX1	heart muscle	ACBD4, ACOT12, PEX26
MEOX1	adipose tissue	ACBD4, ACOT12, PEX26
MEOX1	breast	ACBD4, ACOT12, PEX26
MEOX2	adipose tissue	ACBD4, PXT1, SLC25A17, MFF, ACSS1, SAMD4A, ACOT12
MEOX2	breast	ACBD4, PXT1, SLC25A17, MFF, ACSS1, SAMD4A, ACOT12
MEOX2	placenta	ACBD4, PXT1, SLC25A17, MFF, ACSS1, SAMD4A, ACOT12
MID1	colon	EHHADH
MID1	seminal vesicle	EHHADH
MLF1	retina	CRAT
MLF1	testis	CRAT
MLF1	tongue	CRAT
MLF1	heart muscle	CRAT
MLF1	fallopian tube	CRAT
MLF1	skeletal muscle	CRAT
MLF1	choroid plexus	CRAT
MLH1	testis	BAAT, CCDC33, ACTG1
MLH1	tongue	BAAT, CCDC33, ACTG1
MLH1	heart muscle	BAAT, CCDC33, ACTG1
MLH1	skeletal muscle	BAAT, CCDC33, ACTG1
MLH1	thymus	BAAT, CCDC33, ACTG1
MNDA	bone marrow	PEX1
MNDA	appendix	PEX1
MNDA	spleen	PEX1
MNDA	lung	PEX1
MSH5	testis	PEX1
MSH5	kidney	PEX1
MTHFD1	tongue	DNM1L, SOD1
MTHFD1	adipose tissue	DNM1L, SOD1
MTHFD1	liver	DNM1L, SOD1
MTHFD1	skeletal muscle	DNM1L, SOD1
MTHFD1	kidney	DNM1L, SOD1
MYC	fallopian tube	PRDX1
MYC	skin	PRDX1
MYC	adipose tissue	PRDX1
MYD88	spleen	PRDX1
MYH11	smooth muscle	DNM1L, SOD1
MYH11	prostate	DNM1L, SOD1
MYH11	stomach	DNM1L, SOD1
MYH11	colon	DNM1L, SOD1
MYH11	esophagus	DNM1L, SOD1
MYH11	endometrium	DNM1L, SOD1
MYH11	urinary bladder	DNM1L, SOD1
MYH11	seminal vesicle	DNM1L, SOD1
MYO9A	retina	RHOA
MYO9A	testis	RHOA
MYO9A	tongue	RHOA
MYOC	tongue	TKT, ACTG1
MYOC	stomach	TKT, ACTG1
MYOC	adipose tissue	TKT, ACTG1
NACA	ovary	DNM1L, SOD1
NAP1L1	spinal cord	DNM1L
NAP1L1	ovary	DNM1L
NAP1L4	spinal cord	SOD1
NAP1L4	midbrain	SOD1
NAP1L4	skeletal muscle	SOD1
NEB	skeletal muscle	VIM
NEDD9	adipose tissue	PEX14
NEDD9	breast	PEX14
NEDD9	lung	PEX14
NEDD9	placenta	PEX14
NEFM	cerebral cortex	HSPD1, VIM
NEFM	midbrain	HSPD1, VIM
NEFL	retina	CCDC33, VIM
NEFL	cerebral cortex	CCDC33, VIM
NEFL	midbrain	CCDC33, VIM
NFATC2	choroid plexus	VIM
NFKBIL1	ovary	PEX14
NFKBIL1	pancreas	PEX14
TONSL	bone marrow	PEX14
NKG7	bone marrow	PEX12
NKG7	spleen	PEX12
NKG7	lymph node	PEX12
NKG7	lung	PEX12
NME1	retina	DNM1L
NME1	choroid plexus	DNM1L
NOS3	heart muscle	FIS1
NOS3	adipose tissue	FIS1
NOS3	breast	FIS1
NOS3	spleen	FIS1
NOS3	kidney	FIS1
NTS	stomach	MFF
NTS	small intestine	MFF
NTS	pituitary gland	MFF
NTS	hypothalamus	MFF
ODC1	bone marrow	BAAT
ODC1	skeletal muscle	BAAT
SLC22A18	duodenum	ECI2
SLC22A18	small intestine	ECI2
SLC22A18	colon	ECI2
SLC22A18	liver	ECI2
OSBP	tongue	VAPA
OSBP	parathyroid gland	VAPA
P4HB	salivary gland	SOD2, SOD1
P4HB	pancreas	SOD2, SOD1
P4HB	liver	SOD2, SOD1
PA2G4	bone marrow	PDIA6
PA2G4	tonsil	PDIA6
PA2G4	esophagus	PDIA6
PA2G4	skeletal muscle	PDIA6
PA2G4	thymus	PDIA6
PAFAH1B3	amygdala	ECH1
PAFAH1B3	cerebral cortex	ECH1
PAFAH1B3	cerebellum	ECH1
PAFAH1B3	hypothalamus	ECH1
PAFAH1B3	basal ganglia	ECH1
PAFAH1B3	thymus	ECH1
PRKN	cerebral cortex	DNM1L
PRKN	tongue	DNM1L
PRKN	heart muscle	DNM1L
PRKN	skeletal muscle	DNM1L
PAX6	retina	ACOT12, SOD1
PAX6	cerebellum	ACOT12, SOD1
PCBP1	bone marrow	PEX3
PCBP1	skeletal muscle	PEX3
PCMT1	cerebral cortex	DNM1L, SOD1
PCMT1	tongue	DNM1L, SOD1
PCMT1	heart muscle	DNM1L, SOD1
PCMT1	skeletal muscle	DNM1L, SOD1
PCNA	bone marrow	ECH1, GPD1, GRHPR, LDHA, CAT, SCCPDH, CYB5R3
PCNA	tonsil	ECH1, GPD1, GRHPR, LDHA, CAT, SCCPDH, CYB5R3
PCNA	lymph node	ECH1, GPD1, GRHPR, LDHA, CAT, SCCPDH, CYB5R3
PCNA	thymus	ECH1, GPD1, GRHPR, LDHA, CAT, SCCPDH, CYB5R3
PDE6D	amygdala	RHOA
PDE6D	retina	RHOA
PDE6D	cerebral cortex	RHOA
PDE6D	spinal cord	RHOA
PDE6D	midbrain	RHOA
PDE6D	hippocampal formation	RHOA
PDE6D	hypothalamus	RHOA
PDE6D	basal ganglia	RHOA
PDHA1	tongue	ABCD3, HSD17B4, RHOA, ACAT1, SCP2, HSDL2, DHRS4, ACOT8, ECI2, AGPS, ACAA1, CYB5R3
PDHA1	heart muscle	ABCD3, HSD17B4, RHOA, ACAT1, SCP2, HSDL2, DHRS4, ACOT8, ECI2, AGPS, ACAA1, CYB5R3
PDHA1	liver	ABCD3, HSD17B4, RHOA, ACAT1, SCP2, HSDL2, DHRS4, ACOT8, ECI2, AGPS, ACAA1, CYB5R3
PDHA1	skeletal muscle	ABCD3, HSD17B4, RHOA, ACAT1, SCP2, HSDL2, DHRS4, ACOT8, ECI2, AGPS, ACAA1, CYB5R3
PDHA1	kidney	ABCD3, HSD17B4, RHOA, ACAT1, SCP2, HSDL2, DHRS4, ACOT8, ECI2, AGPS, ACAA1, CYB5R3
PDHA1	parathyroid gland	ABCD3, HSD17B4, RHOA, ACAT1, SCP2, HSDL2, DHRS4, ACOT8, ECI2, AGPS, ACAA1, CYB5R3
PDHB	tongue	DNM1L
PDHB	heart muscle	DNM1L
PDHB	liver	DNM1L
PDHB	skeletal muscle	DNM1L
PDHB	choroid plexus	DNM1L
PDHB	kidney	DNM1L
PDHB	parathyroid gland	DNM1L
PDZK1	duodenum	NHERF1, PEX5
PDZK1	small intestine	NHERF1, PEX5
PDZK1	liver	NHERF1, PEX5
PDZK1	kidney	NHERF1, PEX5
PECAM1	adipose tissue	IDH1
PECAM1	breast	IDH1
PECAM1	lung	IDH1
PECAM1	placenta	IDH1
PFDN2	amygdala	DNM1L, SOD1
PFDN2	cerebral cortex	DNM1L, SOD1
PFDN2	spinal cord	DNM1L, SOD1
PFDN2	midbrain	DNM1L, SOD1
PFDN2	hypothalamus	DNM1L, SOD1
PFDN2	skeletal muscle	DNM1L, SOD1
PFDN5	choroid plexus	PEX26
PFN1	bone marrow	DNM1L, SOD1
PFN1	tonsil	DNM1L, SOD1
PFN1	lymph node	DNM1L, SOD1
PFN2	amygdala	ACTG1
PFN2	cerebral cortex	ACTG1
PFN2	hippocampal formation	ACTG1
PFN2	basal ganglia	ACTG1
PFN2	skeletal muscle	ACTG1
PGAM1	retina	DNM1L
PGAM1	cerebral cortex	DNM1L
PGAM1	esophagus	DNM1L
PGAM1	choroid plexus	DNM1L
PGK1	retina	SOD1
PGK1	tongue	SOD1
PGK1	skeletal muscle	SOD1
SERPINB5	esophagus	MDH1, TKT
SERPINB5	skin	MDH1, TKT
SERPINB5	urinary bladder	MDH1, TKT
SERPINB9	bone marrow	ECH1
SERPINB9	tonsil	ECH1
SERPINB9	appendix	ECH1
SERPINB9	spleen	ECH1
SERPINB9	lymph node	ECH1
SERPINB9	lung	ECH1
SERPINB9	placenta	ECH1
PIN1	amygdala	CCDC33
PIN1	hippocampal formation	CCDC33
PIN1	hypothalamus	CCDC33
PIN1	basal ganglia	CCDC33
PIP4K2A	amygdala	GSTK1
PIP4K2A	cerebral cortex	GSTK1
PIP4K2A	spinal cord	GSTK1
PIP4K2A	midbrain	GSTK1
PIP4K2A	hippocampal formation	GSTK1
PIP4K2A	tonsil	GSTK1
PIP4K2A	hypothalamus	GSTK1
PIP4K2A	lymph node	GSTK1
PIP4K2A	basal ganglia	GSTK1
PITPNA	bone marrow	SCP2
PITPNA	small intestine	SCP2
PITPNA	salivary gland	SCP2
PITPNA	skin	SCP2
PKP2	parathyroid gland	VIM
PLCG1	cerebellum	CAV1
PLCG1	thymus	CAV1
PLEC	skeletal muscle	PEX5
PLK1	testis	IDH1, MAVS, IDH2
PLK1	bone marrow	IDH1, MAVS, IDH2
PLK1	tonsil	IDH1, MAVS, IDH2
PLK1	lymph node	IDH1, MAVS, IDH2
PLK1	thymus	IDH1, MAVS, IDH2
PLN	gallbladder	MFF
PLN	smooth muscle	MFF
PLN	tongue	MFF
PLN	heart muscle	MFF
PLN	colon	MFF
PLN	skeletal muscle	MFF
PLN	endometrium	MFF
PLP1	amygdala	MFF
PLP1	cerebral cortex	MFF
PLP1	cerebellum	MFF
PLP1	spinal cord	MFF
PLP1	midbrain	MFF
PLP1	hippocampal formation	MFF
PLP1	colon	MFF
PLP1	hypothalamus	MFF
PLP1	basal ganglia	MFF
PLP1	choroid plexus	MFF
PLP1	parathyroid gland	MFF
PLS3	thyroid gland	DNM1L
PLS3	liver	DNM1L
PNLIPRP1	pancreas	PEX12, CYB5R3
PNN	epididymis	DNM1L
PNN	bone marrow	DNM1L
PNN	liver	DNM1L
PNN	choroid plexus	DNM1L
POLR2E	cerebral cortex	SOD1
POLR2E	adipose tissue	SOD1
POLR2E	liver	SOD1
PPA1	retina	SOD1
PPA1	spinal cord	SOD1
PPARG	ovary	FABP1, CAV1
PPARG	stomach	FABP1, CAV1
PPARG	colon	FABP1, CAV1
PPARG	adipose tissue	FABP1, CAV1
PPARG	breast	FABP1, CAV1
PPARG	rectum	FABP1, CAV1
PPARG	urinary bladder	FABP1, CAV1
PPARG	placenta	FABP1, CAV1
CTSA	colon	TMEM35A
CTSA	rectum	TMEM35A
CTSA	choroid plexus	TMEM35A
CTSA	adrenal gland	TMEM35A
PPIA	thymus	BAAT, DNM1L, SOD1
PPIB	epididymis	PEX19
PPM1A	testis	SOD1
PPM1A	bone marrow	SOD1
PPM1A	tongue	SOD1
PPM1A	skeletal muscle	SOD1
PPM1B	tongue	SOD1
PPM1B	skeletal muscle	SOD1
PPP2R1A	cerebral cortex	PLAAT3, SOD1
PPP2R1A	hippocampal formation	PLAAT3, SOD1
PPP2R1A	heart muscle	PLAAT3, SOD1
PPP2R1A	basal ganglia	PLAAT3, SOD1
PPP2R1A	adrenal gland	PLAAT3, SOD1
PPP3CA	amygdala	SOD1
PPP3CA	cerebral cortex	SOD1
PPP3CA	cerebellum	SOD1
PPP3CA	hippocampal formation	SOD1
PPP3CA	prostate	SOD1
PPP3CA	basal ganglia	SOD1
PPP3CA	skeletal muscle	SOD1
PPP3CA	seminal vesicle	SOD1
SRGN	bone marrow	PEX12
SRGN	appendix	PEX12
SRGN	lymph node	PEX12
SRGN	urinary bladder	PEX12
PRKAB2	liver	SAMD4A, DAO, CCDC33
PRKACA	tongue	IDH1
PRKACA	heart muscle	IDH1
PRKACA	skeletal muscle	IDH1
PRKACA	adrenal gland	IDH1
PRKAG1	tongue	PAICS
PRKAG1	heart muscle	PAICS
PRKAG1	skeletal muscle	PAICS
PKN1	heart muscle	RHOA, VIM
PKN1	spleen	RHOA, VIM
PKN2	bone marrow	RHOA
PRKCSH	bone marrow	SOD1
PRKCSH	ovary	SOD1
PRKCSH	pancreas	SOD1
MAPK6	bone marrow	HSPD1, HACL1, RAB2A, ACTG1
MAPK6	liver	HSPD1, HACL1, RAB2A, ACTG1
MAPK8	retina	RHOA, HSD17B4
MAPK8	cerebral cortex	RHOA, HSD17B4
MAPK8	cerebellum	RHOA, HSD17B4
MAPK10	amygdala	LDHA
MAPK10	cerebral cortex	LDHA
MAPK10	midbrain	LDHA
MAPK10	hypothalamus	LDHA
MAP2K5	skeletal muscle	VIM
MAP2K5	parathyroid gland	VIM
PRPH	testis	SOD1, VIM
PRPH	colon	SOD1, VIM
PRPH	adrenal gland	SOD1, VIM
PSAP	choroid plexus	PEX5, SOD1
PSEN2	pancreas	ACTG1
PSEN2	skeletal muscle	ACTG1
PSMA1	tongue	ABCD3, VIM
PSMA1	skeletal muscle	ABCD3, VIM
PSMA2	liver	SOD1
PSMA2	skeletal muscle	SOD1
PSMA4	skeletal muscle	DNM1L
PSMA6	testis	SOD1
PSMA6	tongue	SOD1
PSMA6	skeletal muscle	SOD1
PSMA6	thymus	SOD1
PSMB6	tongue	SOD1
PSMB6	heart muscle	SOD1
PSMB6	liver	SOD1
PSMB6	skeletal muscle	SOD1
PSMB6	choroid plexus	SOD1
PSMB8	spleen	SOD1
PSMC1	tongue	DNM1L, SOD1
PSMC1	heart muscle	DNM1L, SOD1
PSMC1	skeletal muscle	DNM1L, SOD1
PSMC2	tongue	DNM1L, SOD1
PSMC2	liver	DNM1L, SOD1
PSMC2	skeletal muscle	DNM1L, SOD1
PSMC3	tongue	DNM1L, SOD1
PSMC3	heart muscle	DNM1L, SOD1
PSMC3	basal ganglia	DNM1L, SOD1
PSMC3	skeletal muscle	DNM1L, SOD1
PSMC3	choroid plexus	DNM1L, SOD1
PSMC4	liver	DNM1L, SOD1
PSMC4	skeletal muscle	DNM1L, SOD1
PSMC5	tongue	DNM1L, SOD1, VIM
PSMC5	skeletal muscle	DNM1L, SOD1, VIM
PSMC5	choroid plexus	DNM1L, SOD1, VIM
PSMC5	parathyroid gland	DNM1L, SOD1, VIM
PSMC6	tongue	DNM1L, SOD1
PSMC6	liver	DNM1L, SOD1
PSMC6	skeletal muscle	DNM1L, SOD1
PSMD2	testis	DNM1L, SOD1
PSMD2	tongue	DNM1L, SOD1
PSMD2	heart muscle	DNM1L, SOD1
PSMD2	skeletal muscle	DNM1L, SOD1
PSMD2	adrenal gland	DNM1L, SOD1
PSMD7	skeletal muscle	VIM
PSMD11	tongue	SOD1
PSMD11	skeletal muscle	SOD1
PSME2	duodenum	SOD1
PSME2	liver	SOD1
PSME2	spleen	SOD1
PSME2	adrenal gland	SOD1
PTGER4	bone marrow	PRDX1
PTGER4	pancreas	PRDX1
PTMS	liver	SOD1
PTPN9	thyroid gland	PEX12
PTPRF	esophagus	LDHA, RHOA, ACAT1
PTPRF	salivary gland	LDHA, RHOA, ACAT1
PTPRF	skin	LDHA, RHOA, ACAT1
PTPRF	liver	LDHA, RHOA, ACAT1
PTPRG	parathyroid gland	VIM
PTPRJ	bone marrow	BAAT
PTPRK	duodenum	GSTK1
PTPRK	gallbladder	GSTK1
PTPRO	rectum	ACTG1
PTPRO	basal ganglia	ACTG1
PTPRO	kidney	ACTG1
RAD51	testis	VIM
RAN	bone marrow	BAAT, CROT, SCP2
RAN	tonsil	BAAT, CROT, SCP2
RAN	esophagus	BAAT, CROT, SCP2
RAN	lymph node	BAAT, CROT, SCP2
RAN	skeletal muscle	BAAT, CROT, SCP2
RAN	thymus	BAAT, CROT, SCP2
RANBP1	testis	DNM1L
RANBP1	bone marrow	DNM1L
RANBP1	esophagus	DNM1L
RANBP1	lymph node	DNM1L
RANBP1	thymus	DNM1L
RAP1A	colon	SOD1
RAP1GDS1	amygdala	RHOA
RAP1GDS1	retina	RHOA
RAP1GDS1	cerebral cortex	RHOA
RAP1GDS1	cerebellum	RHOA
RAP1GDS1	spinal cord	RHOA
RAP1GDS1	midbrain	RHOA
RAP1GDS1	hippocampal formation	RHOA
RAP1GDS1	hypothalamus	RHOA
RAP1GDS1	basal ganglia	RHOA
RARS1	duodenum	DNM1L
RASA1	retina	CAV1
RASA1	testis	CAV1
RASA1	placenta	CAV1
RASGRF2	retina	RHOA
RASGRF2	cerebral cortex	RHOA
RASGRF2	spinal cord	RHOA
RASGRF2	ovary	RHOA
RASGRF2	choroid plexus	RHOA
RBBP4	retina	DNM1L, SOD1
RBBP4	testis	DNM1L, SOD1
RBBP4	tonsil	DNM1L, SOD1
RBBP4	lymph node	DNM1L, SOD1
RBBP4	thymus	DNM1L, SOD1
REL	bone marrow	ACBD4, SZT2, EHHADH, ACOT8, ACOT12
REL	tonsil	ACBD4, SZT2, EHHADH, ACOT8, ACOT12
REL	appendix	ACBD4, SZT2, EHHADH, ACOT8, ACOT12
REL	lymph node	ACBD4, SZT2, EHHADH, ACOT8, ACOT12
REL	urinary bladder	ACBD4, SZT2, EHHADH, ACOT8, ACOT12
TRIM27	pancreas	EHHADH
TRIM27	liver	EHHADH
TRIM27	spleen	EHHADH
RNF4	bone marrow	EHHADH, PAICS
RNF4	tonsil	EHHADH, PAICS
RNF4	spleen	EHHADH, PAICS
RNF4	lymph node	EHHADH, PAICS
RNF4	thymus	EHHADH, PAICS
RNF6	testis	CCDC33, TRIM37
RNF6	bone marrow	CCDC33, TRIM37
ROCK1	bone marrow	RHOA
RPA1	skeletal muscle	VIM
RPA1	thymus	VIM
RPA3	bone marrow	DNM1L, SOD1
RPA3	thymus	DNM1L, SOD1
RPA3	parathyroid gland	DNM1L, SOD1
RPL7A	ovary	TMEM35A
RPL9	ovary	TRIM37
RPL12	ovary	DNM1L
RPL21	bone marrow	SOD2
RPL21	tonsil	SOD2
RPL21	ovary	SOD2
RPL21	breast	SOD2
RPL21	lymph node	SOD2
RPL30	bone marrow	DNM1L, SOD1
RPL30	tonsil	DNM1L, SOD1
RPL30	ovary	DNM1L, SOD1
RPL30	breast	DNM1L, SOD1
RPL27A	bone marrow	PEX6
RPL27A	ovary	PEX6
RPL27A	pancreas	PEX6
RPL28	ovary	DNM1L
RPL28	esophagus	DNM1L
MRPL12	tongue	SOD1
MRPL12	heart muscle	SOD1
MRPL12	liver	SOD1
MRPL12	skeletal muscle	SOD1
RPN2	thyroid gland	RHOA
RPN2	epididymis	RHOA
RPN2	choroid plexus	RHOA
RPN2	placenta	RHOA
RPS3A	bone marrow	SOD2
RPS3A	ovary	SOD2
RPS3A	breast	SOD2
RPS6	ovary	VIM
RPS14	ovary	PEX6
RPS14	skin	PEX6
RPS14	pancreas	PEX6
RPS25	ovary	PEX5L
RPS25	skeletal muscle	PEX5L
RRM2	bone marrow	DNM1L
RRM2	tonsil	DNM1L
RRM2	lymph node	DNM1L
RRM2	thymus	DNM1L
S100A6	colon	PEX5
S100A6	urinary bladder	PEX5
S100A11	esophagus	SOD1
S100A11	urinary bladder	SOD1
S100A11	vagina	SOD1
SAFB	cerebellum	HSPD1, DNM1L
SAFB	skeletal muscle	HSPD1, DNM1L
SARS1	thyroid gland	SOD1
SARS1	cerebral cortex	SOD1
SARS1	pancreas	SOD1
ATXN1	retina	FDPS, FAR1
ATXN1	cerebral cortex	FDPS, FAR1
ATXN1	tongue	FDPS, FAR1
ATXN1	skeletal muscle	FDPS, FAR1
CCL3	cerebral cortex	IDE
CCL3	bone marrow	IDE
CCL3	adipose tissue	IDE
CCL3	spleen	IDE
CCL3	adrenal gland	IDE
CCL3	lung	IDE
SDHA	tongue	LDHA, TKT, CYB5R3, PDIA6, PMVK, HSD17B4
SDHA	heart muscle	LDHA, TKT, CYB5R3, PDIA6, PMVK, HSD17B4
SDHA	liver	LDHA, TKT, CYB5R3, PDIA6, PMVK, HSD17B4
SDHA	skeletal muscle	LDHA, TKT, CYB5R3, PDIA6, PMVK, HSD17B4
SDHA	choroid plexus	LDHA, TKT, CYB5R3, PDIA6, PMVK, HSD17B4
SFPQ	thymus	VIM
SGCB	tongue	EHHADH
SGCB	heart muscle	EHHADH
SGCB	skeletal muscle	EHHADH
SGCB	parathyroid gland	EHHADH
SH3GL1	esophagus	DNM1L, VIM
SH3GL1	skin	DNM1L, VIM
SH3GL1	vagina	DNM1L, VIM
SH3GL2	cerebral cortex	ACTG1
ST3GAL3	cerebral cortex	ACTG1
ST3GAL3	tongue	ACTG1
ST3GAL3	skeletal muscle	ACTG1
SKP1	skeletal muscle	DNM1L
SLC7A1	cerebral cortex	MFF
SLC7A1	esophagus	MFF
SLC7A1	skin	MFF
SLC7A1	pancreas	MFF
SLC14A1	midbrain	FIS1
SLC14A1	prostate	FIS1
SLC14A1	basal ganglia	FIS1
SLC14A1	urinary bladder	FIS1
SLC18A1	adrenal gland	PEX16
SLC18A3	basal ganglia	MFF
SMARCA2	ovary	SOD2
SMARCA2	skeletal muscle	SOD2
SMARCA2	choroid plexus	SOD2
SMARCA2	parathyroid gland	SOD2
SMARCC2	cerebellum	PEX14
SMARCD1	bone marrow	PRDX1, CCDC33, PAICS
SMARCD1	tonsil	PRDX1, CCDC33, PAICS
SMARCD1	thymus	PRDX1, CCDC33, PAICS
SMARCD1	parathyroid gland	PRDX1, CCDC33, PAICS
SUMO3	cerebral cortex	VIM
SUMO3	basal ganglia	VIM
SUMO3	skeletal muscle	VIM
SUMO2	cerebellum	DNM1L, SOD1, VIM
SUMO2	ovary	DNM1L, SOD1, VIM
SNCA	amygdala	SOD1
SNCA	cerebral cortex	SOD1
SNCA	cerebellum	SOD1
SNCA	spinal cord	SOD1
SNCA	midbrain	SOD1
SNCA	bone marrow	SOD1
SNCA	hippocampal formation	SOD1
SNCA	hypothalamus	SOD1
