InteractorA	InteractorB	FoundInScreen	FoundInCheng	proteinA	proteinB	class
51268	5194	Y	N	PIPOX	PEX13	iBret only
51268	5830	Y	N	PIPOX	PEX5	iBret only
51268	51024	Y	N	PIPOX	FIS1	iBret only
51268	6647	Y	N	PIPOX	SOD1	iBret only
51268	4843	Y	N	PIPOX	NOS2	iBret only
51268	6342	Y	N	PIPOX	SCP2	iBret only
51268	3155	Y	N	PIPOX	HMGCL	iBret only
51268	5824	Y	N	PIPOX	PEX19	iBret only
54363	10005	Y	N	HAO1	ACOT8	iBret only
54363	54363	Y	N	HAO1	HAO1	iBret only
54363	25824	Y	N	HAO1	PRDX5	iBret only
54363	4591	Y	N	HAO1	TRIM37	iBret only
54996	1962	Y	N	MARC2	EHHADH	iBret only
54996	373156	Y	N	MARC2	GSTK1	iBret only
54996	4843	Y	N	MARC2	NOS2	iBret only
54996	847	Y	N	MARC2	CAT	iBret only
55670	55670	Y	N	PEX26	PEX26	iBret only
55825	5830	Y	Y	PECR	PEX5	Both
55825	215	Y	N	PECR	ABCD1	iBret only
55825	26063	Y	N	PECR	DECR2	iBret only
55825	252995	Y	N	PECR	FNDC5	iBret only
55825	373156	Y	N	PECR	GSTK1	iBret only
55825	51179	Y	N	PECR	HAO2	iBret only
55825	3155	Y	N	PECR	HMGCL	iBret only
55825	56947	Y	N	PECR	MFF	iBret only
55825	55825	Y	N	PECR	PECR	iBret only
55825	219743	Y	N	PECR	TYSND1	iBret only
55825	5824	Y	N	PECR	PEX19	iBret only
55825	6342	Y	N	PECR	SCP2	iBret only
55825	6648	Y	N	PECR	SOD2	iBret only
65084	5830	Y	N	TMEM135	PEX5	iBret only
65084	5264	Y	N	TMEM135	PHYH	iBret only
65084	5824	Y	N	TMEM135	PEX19	iBret only
83594	373156	Y	N	NUDT12	GSTK1	iBret only
83594	83594	Y	N	NUDT12	NUDT12	iBret only
84129	5830	Y	Y	ACAD11	PEX5	Both
84129	5824	Y	N	ACAD11	PEX19	iBret only
84129	6342	Y	N	ACAD11	SCP2	iBret only
84188	373156	N	Y	FAR1	GSTK1	Cheng
84188	224	Y	N	FAR1	ALDH3A2	iBret only
84188	84188	Y	N	FAR1	FAR1	iBret only
84188	55670	Y	N	FAR1	PEX26	iBret only
84896	5052	Y	N	ATAD1	PRDX1	iBret only
91452	91452	Y	N	ACBD5	ACBD5	iBret only
91452	3417	Y	N	ACBD5	IDH1	iBret only
91452	55670	Y	N	ACBD5	PEX26	iBret only
91734	5830	Y	N	IDI2	PEX5	iBret only
91734	5264	Y	N	IDI2	PHYH	iBret only
92960	1891	Y	N	PEX11G	ECH1	iBret only
92960	55711	Y	N	PEX11G	FAR2	iBret only
92960	92960	Y	N	PEX11G	PEX11G	iBret only
94009	51024	Y	N	SERHL	FIS1	iBret only
94009	94009	Y	N	SERHL	SERHL	iBret only
122970	215	Y	N	ACOT4	ABCD1	iBret only
122970	122970	Y	N	ACOT4	ACOT4	iBret only
122970	1384	Y	N	ACOT4	CRAT	iBret only
122970	54677	Y	N	ACOT4	CROT	iBret only
122970	51179	Y	N	ACOT4	HAO2	iBret only
122970	3417	Y	N	ACOT4	IDH1	iBret only
122970	92960	Y	N	ACOT4	PEX11G	iBret only
122970	5824	Y	N	ACOT4	PEX19	iBret only
122970	5830	Y	N	ACOT4	PEX5	iBret only
122970	6342	Y	N	ACOT4	SCP2	iBret only
219743	847	N	Y	TYSND1	CAT	Cheng
219743	5830	N	Y	TYSND1	PEX5	Cheng
219743	51024	Y	N	TYSND1	FIS1	iBret only
219743	84129	Y	N	TYSND1	ACAD11	iBret only
219743	10005	Y	N	TYSND1	ACOT8	iBret only
219743	23305	Y	N	TYSND1	ACSL6	iBret only
219743	1891	Y	N	TYSND1	ECH1	iBret only
219743	25824	Y	N	TYSND1	PRDX5	iBret only
219743	6648	Y	N	TYSND1	SOD2	iBret only
219743	219743	Y	N	TYSND1	TYSND1	iBret only
222659	4591	Y	N	PXT1	TRIM37	iBret only
252995	5830	Y	N	FNDC5	PEX5	iBret only
252995	5825	Y	N	FNDC5	ABCD3	iBret only
252995	26063	Y	N	FNDC5	DECR2	iBret only
252995	1891	Y	N	FNDC5	ECH1	iBret only
252995	252995	Y	N	FNDC5	FNDC5	iBret only
252995	3416	Y	N	FNDC5	IDE	iBret only
252995	3155	Y	N	FNDC5	HMGCL	iBret only
252995	5824	Y	N	FNDC5	PEX19	iBret only
252995	51268	Y	N	FNDC5	PIPOX	iBret only
252995	6342	Y	N	FNDC5	SCP2	iBret only
284273	5830	Y	Y	ZADH2	PEX5	Both
284273	641371	Y	N	ZADH2	ACOT1	iBret only
284273	5824	Y	N	ZADH2	PEX19	iBret only
284273	5828	Y	N	ZADH2	PEX2	iBret only
284273	6342	Y	N	ZADH2	SCP2	iBret only
284273	8528	Y	N	ZADH2	DDO	iBret only
284273	284273	Y	N	ZADH2	ZADH2	iBret only
373156	373156	Y	Y	GSTK1	GSTK1	Both
373156	5052	Y	N	GSTK1	PRDX1	iBret only
641371	51179	Y	N	ACOT1	HAO2	iBret only
